name,nation,position,team,age,year_born,full_games,touches,touches_defensive_pen_area,touches_defensive_third,touches_mid_third,touches_attacking_third,touches_attacking_pen_area,live_ball_touches,take_on_attempts,successful_take_on,take_on_percentage,tackled_during_take_on,ball_carries,total_carry_distance,progressive_carry_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_recieved,progressive_passes_recieved,season,competition
Zain Silcott-Duberry,MSR,FW,Bournemouth,19,2005,0.0,3,0,1,0,2,0,3,0,0,,0,1,6,6,0,0,0,0,0,2,0,2024-2025,Premier-League
Bernardo Silva,POR,"MF,FW",Manchester City,29,1994,29.7,2054,50,355,843,876,141,2054,61,28,45.9,26,1288,8110,4045,101,65,32,25,34,1518,200,2024-2025,Premier-League
Jota Silva,POR,"FW,MF",Nott'ham Forest,24,1999,9.5,357,19,83,104,181,46,357,34,10,29.4,15,175,1153,632,21,13,9,24,12,202,59,2024-2025,Premier-League
Eric da Silva Moreira,GER,"MF,DF",Nott'ham Forest,18,2006,0.3,13,3,7,4,2,0,13,1,0,0.0,1,4,26,11,1,0,0,1,0,3,1,2024-2025,Premier-League
Jahmai Simpson-Pusey,ENG,DF,Manchester City,18,2005,1.1,123,9,61,59,3,1,123,1,0,0.0,0,79,376,190,1,0,0,1,0,101,0,2024-2025,Premier-League
Luis Sinisterra,COL,"FW,MF",Bournemouth,25,1999,2.6,155,7,18,41,96,23,155,20,8,40.0,10,95,744,393,19,6,10,6,3,102,38,2024-2025,Premier-League
Oliver Skipp,ENG,MF,Leicester City,23,2000,12.5,612,29,141,383,92,9,612,12,7,58.3,5,347,1392,644,16,7,3,12,7,419,19,2024-2025,Premier-League
William Smallbone,IRL,MF,Southampton,24,2000,7.7,431,17,83,213,139,17,431,6,4,66.7,2,193,787,397,5,9,1,12,6,262,25,2024-2025,Premier-League
Adam Smith,ENG,DF,Bournemouth,33,1991,17.7,825,41,240,394,197,8,825,16,6,37.5,7,366,1552,711,15,18,1,13,7,403,34,2024-2025,Premier-League
Emile Smith Rowe,ENG,MF,Fulham,24,2000,22.7,1223,20,166,591,476,60,1223,35,16,45.7,16,779,3728,1932,53,40,12,36,18,940,127,2024-2025,Premier-League
Dominic Solanke,ENG,FW,Tottenham,26,1997,24.5,655,33,74,299,288,112,654,51,17,33.3,31,385,2126,848,31,23,14,69,51,459,88,2024-2025,Premier-League
Carlos Soler,ESP,"MF,FW",West Ham,27,1997,15.7,794,27,180,409,210,26,794,18,8,44.4,9,367,1806,783,17,17,4,14,14,539,37,2024-2025,Premier-League
Julio Soler,ARG,"DF,FW",Bournemouth,19,2005,0.1,17,0,3,6,8,0,17,0,0,,0,12,30,8,0,0,0,1,0,14,2,2024-2025,Premier-League
Ramón Sosa,PAR,"FW,MF",Nott'ham Forest,24,1999,3.3,154,6,36,48,77,15,154,13,8,61.5,5,75,601,333,12,7,5,6,5,81,17,2024-2025,Premier-League
Tomáš Souček,CZE,MF,West Ham,29,1995,28.5,1280,128,355,626,303,102,1280,12,6,50.0,6,506,1553,559,9,12,3,20,15,764,68,2024-2025,Premier-League
Boubakary Soumaré,FRA,MF,Leicester City,25,1999,24.1,1441,73,386,903,166,18,1441,45,27,60.0,14,847,3904,2011,34,19,4,24,22,1013,23,2024-2025,Premier-League
Djed Spence,ENG,DF,Tottenham,23,2000,19.9,1428,81,500,641,309,25,1428,76,38,50.0,31,794,4661,2481,59,44,7,28,33,872,70,2024-2025,Premier-League
Jay Stansfield,ENG,MF,Fulham,21,2002,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2024-2025,Premier-League
Jason Steele,ENG,GK,Brighton,33,1990,2.0,114,107,114,0,0,0,114,0,0,,0,91,361,151,0,0,0,0,0,83,0,2024-2025,Premier-League
Jack Stephens,ENG,DF,Southampton,30,1994,15.4,1097,128,461,543,97,11,1097,4,0,0.0,4,631,2996,1407,14,12,1,3,3,783,2,2024-2025,Premier-League
Raheem Sterling,ENG,"FW,MF",Arsenal,29,1994,5.5,274,2,10,58,209,38,274,30,10,33.3,10,201,1407,750,27,11,15,13,14,211,79,2024-2025,Premier-League
Ross Stewart,SCO,FW,Southampton,28,1996,4.3,140,9,25,55,62,15,140,5,3,60.0,2,64,298,81,3,0,4,7,9,100,10,2024-2025,Premier-League
Jakub Stolarczyk,POL,GK,Leicester City,23,2000,10.0,411,309,406,6,0,0,411,0,0,,0,221,983,595,0,0,0,1,0,225,0,2024-2025,Premier-League
John Stones,ENG,"DF,MF",Manchester City,30,1994,6.1,442,40,142,234,68,4,442,2,2,100.0,0,292,2146,1183,10,14,0,2,0,333,2,2024-2025,Premier-League
Jørgen Strand Larsen,NOR,FW,Wolves,24,2000,28.7,736,36,85,348,304,108,736,20,8,40.0,11,345,1194,464,17,14,9,90,34,534,112,2024-2025,Premier-League
Yukinari Sugawara,JPN,"DF,MF",Southampton,24,2000,17.3,1066,67,327,410,334,29,1066,20,9,45.0,10,564,2569,1384,33,16,7,18,5,709,78,2024-2025,Premier-League
Kamaldeen Sulemana,GHA,"FW,MF",Southampton,22,2002,15.6,587,17,92,219,301,59,587,103,39,37.9,56,380,3283,1620,63,37,28,50,25,410,87,2024-2025,Premier-League
Crysencio Summerville,NED,"FW,MF",West Ham,22,2001,8.7,372,9,47,147,181,38,372,39,13,33.3,18,207,1463,762,29,15,13,20,16,259,71,2024-2025,Premier-League
Sammie Szmodics,IRL,"FW,MF",Ipswich Town,28,1995,11.0,318,17,80,125,119,33,318,12,4,33.3,6,179,1003,407,16,8,7,24,17,193,47,2024-2025,Premier-League
Dominik Szoboszlai,HUN,MF,Liverpool,23,2000,27.7,1584,32,220,761,626,104,1584,41,21,51.2,17,805,4223,2372,72,49,18,37,23,1073,127,2024-2025,Premier-League
Matt Targett,ENG,DF,Newcastle Utd,28,1995,0.2,17,0,3,8,6,0,17,0,0,,0,4,12,6,0,0,0,0,0,12,1,2024-2025,Premier-League
James Tarkowski,ENG,DF,Everton,31,1992,32.5,1706,355,974,635,106,57,1706,7,5,71.4,2,727,3610,1943,9,10,0,13,7,927,3,2024-2025,Premier-League
Marcus Tavernier,ENG,"FW,MF",Bournemouth,25,1999,21.5,1196,20,135,468,622,58,1196,65,28,43.1,31,705,4335,2068,53,51,9,46,47,790,129,2024-2025,Premier-League
Charlie Taylor,ENG,DF,Southampton,30,1993,4.0,279,35,121,120,39,2,279,2,2,100.0,0,116,500,187,3,3,0,1,1,172,7,2024-2025,Premier-League
Jack Taylor,IRL,MF,Ipswich Town,26,1998,9.6,534,32,161,281,103,8,534,11,4,36.4,4,254,1506,791,11,10,1,10,6,345,23,2024-2025,Premier-League
Mathys Tel,FRA,FW,Tottenham,19,2005,10.1,414,9,58,150,217,40,413,53,15,28.3,31,266,1578,805,28,23,11,28,15,279,72,2024-2025,Premier-League
Kenny Tete,NED,DF,Fulham,28,1995,19.7,1205,79,402,484,329,37,1205,20,9,45.0,6,611,2851,1336,34,21,7,17,10,695,54,2024-2025,Premier-League
Thiago,BRA,"FW,MF",Brentford,23,2001,1.9,83,7,15,34,36,4,83,5,3,60.0,2,45,159,53,3,3,1,6,2,51,8,2024-2025,Premier-League
Luke Thomas,ENG,DF,Leicester City,23,2001,12.3,775,50,294,366,120,8,775,6,3,50.0,3,371,1457,585,5,8,2,12,4,431,16,2024-2025,Premier-League
Youri Tielemans,BEL,MF,Aston Villa,27,1997,33.6,2385,103,479,1366,565,45,2384,61,31,50.8,19,1288,5561,2551,39,26,9,31,29,1667,48,2024-2025,Premier-League
Kieran Tierney,SCO,"DF,FW",Arsenal,27,1997,2.9,199,8,36,72,91,6,199,4,2,50.0,1,108,447,253,8,6,1,3,0,143,29,2024-2025,Premier-League
Jurriën Timber,NED,DF,Arsenal,23,2001,26.9,1661,51,304,859,505,66,1661,53,24,45.3,24,890,3916,2076,57,27,11,33,24,1052,104,2024-2025,Premier-League
Jean-Clair Todibo,FRA,DF,West Ham,24,1999,20.3,1297,165,716,543,47,11,1297,16,9,56.3,7,760,3221,1602,9,5,0,14,11,890,5,2024-2025,Premier-League
Harry Toffolo,ENG,DF,Nott'ham Forest,28,1995,1.5,88,9,32,22,34,2,88,0,0,,0,17,57,23,0,0,0,0,0,30,4,2024-2025,Premier-League
Takehiro Tomiyasu,JPN,DF,Arsenal,25,1998,0.1,7,1,4,1,2,1,7,0,0,,0,1,7,5,0,0,0,0,0,2,0,2024-2025,Premier-League
Sandro Tonali,ITA,MF,Newcastle Utd,24,2000,29.2,1818,64,406,991,450,45,1818,37,20,54.1,14,979,5567,2334,37,40,6,30,23,1257,53,2024-2025,Premier-League
Pau Torres,ESP,DF,Aston Villa,27,1997,22.4,1518,237,701,726,97,17,1518,17,15,88.2,2,965,6359,4176,40,27,0,6,5,1090,8,2024-2025,Premier-League
Conor Townsend,ENG,DF,Ipswich Town,31,1993,3.7,172,28,87,50,38,5,172,0,0,,0,53,278,136,2,2,0,2,2,75,13,2024-2025,Premier-League
Adama Traoré,ESP,"FW,MF",Fulham,28,1996,19.7,801,4,83,285,455,91,801,97,48,49.5,36,538,4631,2486,100,45,33,37,25,607,161,2024-2025,Premier-League
Boubacar Traoré,MLI,MF,Wolves,22,2001,0.0,2,0,0,2,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,2024-2025,Premier-League
Mark Travers,IRL,GK,Bournemouth,25,1999,5.0,162,144,159,3,0,0,162,0,0,,0,85,426,188,0,0,0,0,0,68,0,2024-2025,Premier-League
Ryan Trevitt,ENG,MF,Brentford,21,2003,0.0,7,1,2,4,1,0,7,0,0,,0,4,7,2,0,0,0,0,0,4,1,2024-2025,Premier-League
Kieran Trippier,ENG,DF,Newcastle Utd,33,1990,14.5,1388,50,375,616,406,13,1388,8,4,50.0,4,609,2258,1224,26,14,4,11,8,847,58,2024-2025,Premier-League
Leandro Trossard,BEL,FW,Arsenal,29,1994,28.3,1278,17,135,399,762,158,1278,86,38,44.2,37,828,5024,2218,80,55,30,66,52,956,226,2024-2025,Premier-League
Kostas Tsimikas,GRE,DF,Liverpool,28,1996,9.3,741,33,190,327,229,13,741,12,5,41.7,5,368,1567,790,17,8,2,6,4,472,43,2024-2025,Premier-League
Axel Tuanzebe,COD,DF,Ipswich Town,26,1997,19.0,971,97,407,426,145,8,971,10,4,40.0,6,402,1698,826,10,7,1,11,1,516,15,2024-2025,Premier-League
Destiny Udogie,ITA,DF,Tottenham,21,2002,21.4,1376,63,394,609,389,49,1376,32,13,40.6,16,758,4340,2352,54,40,12,37,19,819,94,2024-2025,Premier-League
Manuel Ugarte Ribeiro,URU,MF,Manchester Utd,23,2001,19.8,1161,46,331,639,211,16,1161,32,18,56.3,10,668,2883,1347,16,16,1,32,25,728,20,2024-2025,Premier-League
Lesley Ugochukwu,FRA,MF,Southampton,20,2004,18.4,879,50,215,501,169,24,879,28,19,67.9,8,479,2565,1229,29,15,6,12,13,600,20,2024-2025,Premier-League
Enes Ünal,TUR,"FW,MF",Bournemouth,27,1997,3.8,172,6,14,63,95,26,172,12,1,8.3,10,91,261,95,4,3,1,17,13,133,22,2024-2025,Premier-League
Virgil van Dijk,NED,DF,Liverpool,33,1991,37.0,3300,450,1317,1827,166,48,3300,5,3,60.0,2,1856,8754,4846,22,24,3,10,5,2281,6,2024-2025,Premier-League
Jamie Vardy,ENG,FW,Leicester City,37,1987,31.4,586,30,61,272,260,111,584,23,11,47.8,10,285,1504,717,29,13,16,34,14,382,120,2024-2025,Premier-League
Renato Veiga,POR,"DF,MF",Chelsea,21,2003,2.0,167,2,61,82,27,3,167,5,3,60.0,2,85,417,144,4,5,1,1,0,110,3,2024-2025,Premier-League
Joël Veltman,NED,DF,Brighton,32,1992,18.9,1133,65,332,558,253,10,1133,15,4,26.7,5,548,2917,1521,32,25,3,19,7,626,34,2024-2025,Premier-League
Micky van de Ven,NED,DF,Tottenham,23,2001,11.3,895,110,460,408,36,9,895,8,4,50.0,4,620,2883,1407,8,10,1,5,5,651,1,2024-2025,Premier-League
Bart Verbruggen,NED,GK,Brighton,21,2002,36.0,1406,1109,1392,14,0,0,1406,2,2,100.0,0,955,3507,1804,0,1,1,2,0,909,0,2024-2025,Premier-League
Jannik Vestergaard,DEN,DF,Leicester City,31,1992,15.5,1092,196,572,497,28,10,1092,4,4,100.0,0,672,2932,1458,3,3,0,2,0,757,2,2024-2025,Premier-League
Guglielmo Vicario,ITA,GK,Tottenham,27,1996,24.0,928,626,910,18,0,0,928,1,1,100.0,0,661,3067,1700,0,0,0,0,0,597,0,2024-2025,Premier-League
Carlos Vinícius,BRA,"MF,FW",Fulham,29,1995,0.2,7,0,1,3,3,2,7,1,1,100.0,0,7,24,11,1,0,1,1,0,6,3,2024-2025,Premier-League
Kyle Walker,ENG,DF,Manchester City,34,1990,10.8,892,26,197,473,228,5,892,6,3,50.0,2,499,2284,1106,12,13,0,9,2,630,11,2024-2025,Premier-League
Kyle Walker-Peters,ENG,DF,Southampton,27,1997,32.4,2022,151,615,884,540,59,2022,92,38,41.3,39,1271,7917,4373,114,72,24,32,39,1433,144,2024-2025,Premier-League
Christian Walton,ENG,GK,Ipswich Town,28,1995,7.0,272,248,271,1,0,0,272,0,0,,0,143,699,384,0,0,0,0,0,131,0,2024-2025,Premier-League
Aaron Wan-Bissaka,ENG,DF,West Ham,26,1997,35.0,2256,147,682,969,637,48,2256,122,64,52.5,43,1092,6700,3661,110,65,15,35,22,1322,167,2024-2025,Premier-League
Danny Ward,WAL,GK,Leicester City,31,1993,1.5,55,40,55,0,0,0,55,1,0,0.0,1,44,176,107,0,0,0,0,0,35,0,2024-2025,Premier-League
Joel Ward,ENG,DF,Crystal Palace,34,1989,0.8,32,3,17,15,1,0,32,1,0,0.0,1,15,43,15,0,0,0,0,0,16,1,2024-2025,Premier-League
James Ward-Prowse,ENG,MF,West Ham,29,1994,11.5,849,30,180,513,158,11,849,5,2,40.0,3,427,1999,845,11,16,0,3,6,593,9,2024-2025,Premier-League
James Ward-Prowse,ENG,MF,Nott'ham Forest,29,1994,4.4,205,13,49,115,45,1,205,0,0,,0,92,407,170,1,3,0,3,3,115,3,2024-2025,Premier-League
Ollie Watkins,ENG,FW,Aston Villa,28,1995,28.9,695,18,50,248,407,168,693,41,10,24.4,27,409,2243,1125,55,21,38,60,50,552,165,2024-2025,Premier-League
Adam Webster,ENG,DF,Brighton,29,1995,9.9,824,119,389,399,43,15,824,3,1,33.3,2,476,2600,1475,8,6,0,5,1,552,2,2024-2025,Premier-League
Danny Welbeck,ENG,FW,Brighton,33,1990,23.5,726,18,58,318,356,102,725,37,13,35.1,21,448,2065,890,21,23,8,49,28,547,95,2024-2025,Premier-League
Welington,BRA,DF,Southampton,23,2001,5.4,276,31,113,102,64,3,276,9,5,55.6,3,100,389,197,5,4,1,9,4,120,19,2024-2025,Premier-League
Timo Werner,GER,"FW,MF",Tottenham,28,1996,5.7,298,8,24,78,203,33,298,19,10,52.6,8,215,1768,1062,42,24,18,14,6,227,89,2024-2025,Premier-League
Adam Wharton,ENG,MF,Crystal Palace,20,2004,14.6,872,30,204,463,212,11,872,10,2,20.0,8,430,2014,1078,14,23,2,17,13,533,11,2024-2025,Premier-League
Ben White,ENG,DF,Arsenal,26,1997,13.3,813,55,214,367,238,28,813,6,0,0.0,5,394,1617,953,23,16,4,10,6,494,42,2024-2025,Premier-League
Mats Wieffer,NED,"DF,MF",Brighton,24,1999,11.3,867,55,223,450,206,22,867,15,7,46.7,7,483,2351,1051,18,20,1,19,9,533,23,2024-2025,Premier-League
Neco Williams,WAL,DF,Nott'ham Forest,23,2001,28.8,1565,155,558,574,453,45,1565,46,18,39.1,19,650,3952,2169,68,28,16,36,21,744,103,2024-2025,Premier-League
Willian,BRA,"FW,MF",Fulham,35,1988,2.9,231,1,18,83,134,7,231,7,1,14.3,4,148,1005,503,11,10,2,3,1,183,33,2024-2025,Premier-League
Joe Willock,ENG,"MF,FW",Newcastle Utd,24,1999,12.1,533,12,74,231,239,55,533,35,12,34.3,17,325,2217,1034,38,28,16,37,23,372,86,2024-2025,Premier-League
Callum Wilson,ENG,FW,Newcastle Utd,32,1992,4.1,95,1,5,55,38,19,95,7,1,14.3,4,47,243,105,5,4,5,16,12,60,17,2024-2025,Premier-League
Harry Wilson,WAL,"FW,MF",Fulham,27,1997,12.9,598,11,81,203,324,63,598,24,9,37.5,10,342,1879,864,22,18,11,19,6,390,96,2024-2025,Premier-League
Harry Winks,ENG,MF,Leicester City,28,1996,17.1,1158,49,275,746,151,1,1158,12,3,25.0,8,696,3268,1522,19,13,0,13,8,827,11,2024-2025,Premier-League
Ben Winterburn,ENG,"MF,FW",Bournemouth,19,2004,0.3,9,0,2,5,2,1,9,0,0,,0,6,50,40,2,0,1,0,0,6,2,2024-2025,Premier-League
Yoane Wissa,COD,FW,Brentford,27,1996,32.4,925,34,136,376,432,163,925,49,15,30.6,24,550,3469,1662,60,26,34,77,35,658,154,2024-2025,Premier-League
Chris Wood,NZL,FW,Nott'ham Forest,32,1991,32.9,770,40,89,361,322,105,767,13,4,30.8,8,376,1279,506,14,11,5,75,28,563,94,2024-2025,Premier-League
Nathan Wood-Gordon,ENG,DF,Southampton,22,2002,8.6,564,75,282,255,28,3,564,6,4,66.7,1,313,1352,535,2,6,0,5,1,419,0,2024-2025,Premier-League
Luke Woolfenden,ENG,DF,Ipswich Town,25,1998,13.2,694,147,407,278,9,3,694,0,0,,0,368,2118,1249,7,3,0,4,0,442,0,2024-2025,Premier-League
Yehor Yarmoliuk,UKR,MF,Brentford,20,2004,16.1,960,61,277,501,203,15,960,27,13,48.1,11,520,2790,908,15,19,3,26,21,599,47,2024-2025,Premier-League
Ryan Yates,ENG,MF,Nott'ham Forest,26,1997,21.3,1041,80,276,510,266,41,1041,18,9,50.0,5,424,2057,934,18,18,1,24,18,545,16,2024-2025,Premier-League
Leny Yoro,FRA,DF,Manchester Utd,18,2005,12.9,894,87,413,414,70,13,894,4,2,50.0,2,614,3173,1765,19,13,1,3,4,656,4,2024-2025,Premier-League
Ashley Young,ENG,DF,Everton,39,1985,20.8,1194,61,369,528,305,9,1194,20,7,35.0,9,487,2447,1378,24,26,1,11,1,618,32,2024-2025,Premier-League
Illia Zabarnyi,UKR,DF,Bournemouth,21,2002,34.5,2062,234,929,1078,77,16,2062,9,6,66.7,2,1282,8351,4948,27,21,0,14,3,1306,4,2024-2025,Premier-League
Oleksandr Zinchenko,UKR,"DF,MF",Arsenal,27,1996,5.9,499,16,86,233,181,20,499,5,3,60.0,1,281,1348,573,10,8,3,3,4,348,14,2024-2025,Premier-League
Joshua Zirkzee,NED,"FW,MF",Manchester Utd,23,2001,15.6,587,16,71,303,219,56,587,35,11,31.4,24,327,1483,523,14,21,4,41,30,418,69,2024-2025,Premier-League
Martin Ødegaard,NOR,MF,Arsenal,25,1998,25.8,1694,9,126,708,875,115,1693,59,25,42.4,32,1174,7444,3772,92,85,26,38,40,1336,154,2024-2025,Premier-League
