name,nation,position,team,age,year_born,full_games,touches,touches_defensive_pen_area,touches_defensive_third,touches_mid_third,touches_attacking_third,touches_attacking_pen_area,live_ball_touches,take_on_attempts,successful_take_on,take_on_percentage,tackled_during_take_on,ball_carries,total_carry_distance,progressive_carry_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_recieved,progressive_passes_recieved,season,competition
Daniel Muñoz,COL,DF,Crystal Palace,28,1996,35.9,2010,119,568,826,637,107,2010,56,21,37.5,33,806,4046,1797,62,40,18,55,20,956,206,2024-2025,Premier-League
Arijanet Muric,KVX,GK,Ipswich Town,25,1998,18.0,689,559,672,18,0,0,689,0,0,,0,405,2088,1178,0,0,0,3,1,321,0,2024-2025,Premier-League
Murillo,BRA,DF,Nott'ham Forest,22,2002,35.4,1918,421,989,840,105,24,1918,37,27,73.0,10,821,4254,2531,22,25,1,19,10,989,5,2024-2025,Premier-League
Jacob Murphy,ENG,FW,Newcastle Utd,29,1995,26.2,1271,27,188,474,622,92,1271,69,35,50.7,31,733,4416,2339,79,40,27,32,37,911,231,2024-2025,Premier-League
Vitaliy Mykolenko,UKR,DF,Everton,25,1999,34.2,1678,125,525,713,452,32,1678,20,8,40.0,9,697,2825,1506,33,28,1,23,11,860,99,2024-2025,Premier-League
Iliman Ndiaye,SEN,FW,Everton,24,2000,27.0,1084,36,219,451,464,83,1082,143,68,47.6,64,621,4800,2367,86,44,32,55,44,674,122,2024-2025,Premier-League
Wilfred Ndidi,NGA,MF,Leicester City,27,1996,25.8,1400,119,461,699,253,61,1400,33,13,39.4,18,670,2727,1101,18,23,2,37,33,834,75,2024-2025,Premier-League
Kosta Nedeljković,SRB,DF,Aston Villa,18,2005,1.4,66,4,15,32,19,0,66,2,1,50.0,1,27,101,33,1,0,0,1,0,32,0,2024-2025,Premier-League
Reiss Nelson,ENG,FW,Arsenal,24,1999,0.0,2,0,1,1,0,0,2,0,0,,0,1,4,4,0,0,0,0,0,1,0,2024-2025,Premier-League
Reiss Nelson,ENG,FW,Fulham,24,1999,5.4,347,5,30,110,212,35,347,35,13,37.1,13,259,1956,960,45,25,21,14,8,274,63,2024-2025,Premier-League
Neto,BRA,GK,Bournemouth,35,1989,2.0,70,60,70,0,0,0,70,0,0,,0,35,148,99,0,0,0,0,0,28,0,2024-2025,Premier-League
Pedro Neto,POR,FW,Chelsea,24,2000,25.2,1153,13,100,336,735,116,1153,104,34,32.7,46,746,6336,3342,126,57,45,45,30,838,253,2024-2025,Premier-League
Eddie Nketiah,ENG,"FW,MF",Crystal Palace,25,1999,11.5,412,11,47,176,198,67,412,31,11,35.5,16,246,1713,878,41,25,14,34,17,294,79,2024-2025,Premier-League
Christopher Nkunku,FRA,FW,Chelsea,26,1997,10.2,448,10,52,183,217,52,448,27,10,37.0,14,280,1368,628,17,16,13,18,17,356,68,2024-2025,Premier-League
Gustavo Nunes,BRA,"FW,MF",Brentford,18,2005,0.1,7,1,4,1,2,1,7,0,0,,0,1,16,11,1,0,1,1,0,1,0,2024-2025,Premier-League
Matheus Nunes,POR,"DF,MF",Manchester City,25,1998,18.6,1416,47,251,560,614,62,1416,41,19,46.3,14,866,4503,2315,63,37,24,32,13,1013,175,2024-2025,Premier-League
Darwin Núñez,URU,FW,Liverpool,25,1999,12.6,366,10,45,122,210,74,366,23,8,34.8,14,201,1063,568,23,19,12,24,21,248,78,2024-2025,Premier-League
Ethan Nwaneri,ENG,"FW,MF",Arsenal,17,2007,9.9,544,3,44,167,339,44,544,62,37,59.7,19,365,2852,1329,46,25,17,23,17,398,113,2024-2025,Premier-League
Christian Nørgaard,DEN,MF,Brentford,30,1994,31.3,1802,176,613,855,350,57,1802,14,7,50.0,5,826,3115,1391,14,16,4,34,20,1075,42,2024-2025,Premier-League
Jake O'Brien,IRL,DF,Everton,23,2001,17.5,900,93,374,390,139,22,900,10,4,40.0,5,391,1801,906,7,6,2,5,5,481,25,2024-2025,Premier-League
Matt O'Riley,DEN,MF,Brighton,23,2000,10.4,525,20,80,232,215,47,524,13,8,61.5,4,275,1139,544,22,12,8,19,4,307,52,2024-2025,Premier-League
Dara O'Shea,IRL,DF,Ipswich Town,25,1999,34.7,2022,393,1169,730,129,51,2022,2,1,50.0,1,897,4023,2069,3,2,0,12,4,1162,8,2024-2025,Premier-League
Chidozie Obi-Martin,DEN,FW,Manchester Utd,16,2007,1.8,47,3,6,21,20,9,47,3,1,33.3,2,22,114,50,2,0,1,5,1,29,12,2024-2025,Premier-League
Wilson Odobert,FRA,"FW,MF",Tottenham,19,2004,9.4,381,7,46,142,197,35,381,32,12,37.5,17,265,1949,1146,45,25,18,21,17,273,66,2024-2025,Premier-League
Chiedozie Ogbene,IRL,FW,Ipswich Town,27,1997,2.6,70,3,11,19,40,6,70,7,1,14.3,3,41,330,139,7,2,2,4,2,43,15,2024-2025,Premier-League
Caleb Okoli,ITA,DF,Leicester City,23,2001,12.5,806,152,451,325,35,10,806,0,0,,0,468,2318,1106,3,6,0,10,2,484,2,2024-2025,Premier-League
Robin Olsen,SWE,GK,Aston Villa,34,1990,2.5,110,94,109,1,0,0,110,0,0,,0,50,270,132,0,0,0,0,0,46,0,2024-2025,Premier-League
Amadou Onana,BEL,MF,Aston Villa,22,2001,18.0,998,71,269,586,159,23,998,20,14,70.0,3,553,2931,1577,29,25,1,11,9,671,16,2024-2025,Premier-League
André Onana,CMR,GK,Manchester Utd,28,1996,34.0,1371,1046,1350,22,0,0,1371,1,1,100.0,0,961,4851,2676,0,0,0,1,0,832,0,2024-2025,Premier-League
Paul Onuachu,NGA,FW,Southampton,30,1994,11.7,440,17,45,235,163,67,440,26,8,30.8,14,214,857,248,7,5,2,50,36,358,40,2024-2025,Premier-League
Frank Onyeka,NGA,MF,Brentford,26,1998,0.3,10,0,1,5,4,0,10,0,0,,0,6,55,14,0,0,0,2,1,6,0,2024-2025,Premier-League
Lewis Orford,ENG,MF,West Ham,18,2006,0.5,42,1,8,28,7,2,42,0,0,,0,22,98,27,0,0,0,1,0,31,1,2024-2025,Premier-League
Stefan Ortega,GER,GK,Manchester City,31,1992,12.2,492,383,489,3,0,0,492,0,0,,0,323,1489,864,0,0,0,0,0,309,0,2024-2025,Premier-League
William Osula,DEN,FW,Newcastle Utd,20,2003,1.5,56,1,4,21,32,8,56,6,3,50.0,3,37,252,126,5,1,2,7,6,42,17,2024-2025,Premier-League
Dango Ouattara,BFA,FW,Bournemouth,22,2002,22.3,959,62,165,316,497,128,959,82,39,47.6,34,492,3577,1777,79,35,38,63,32,577,191,2024-2025,Premier-League
Nico O’Reilly,ENG,DF,Manchester City,19,2005,5.9,419,14,71,223,130,18,419,15,9,60.0,6,249,1171,575,16,15,0,14,15,298,26,2024-2025,Premier-League
Alex Palmer,ENG,GK,Ipswich Town,27,1996,13.0,470,396,461,10,0,0,470,0,0,,0,210,1205,750,0,0,0,2,0,170,0,2024-2025,Premier-League
Cole Palmer,ENG,"MF,FW",Chelsea,22,2002,35.5,1851,23,150,824,901,144,1846,113,51,45.1,46,1173,7917,3804,120,76,41,71,37,1366,187,2024-2025,Premier-League
Emerson Palmieri,ITA,DF,West Ham,29,1994,23.5,1325,82,422,559,359,28,1325,30,10,33.3,17,555,3013,1737,47,25,9,24,7,747,83,2024-2025,Premier-League
Lucas Paquetá,BRA,"MF,FW",West Ham,26,1997,26.4,1796,62,367,989,454,59,1794,47,21,44.7,21,921,3358,1416,26,34,2,54,51,1268,85,2024-2025,Premier-League
Thomas Partey,GHA,"MF,DF",Arsenal,31,1993,31.1,2193,74,457,1214,534,33,2193,35,24,68.6,9,1256,6822,3691,36,42,3,24,17,1561,48,2024-2025,Premier-League
Nathan Patterson,SCO,DF,Everton,22,2001,3.9,215,11,52,90,75,5,215,12,9,75.0,2,95,420,216,6,5,2,4,2,117,18,2024-2025,Premier-League
Andreas Pereira,BRA,MF,Fulham,28,1996,22.4,1148,22,169,466,531,46,1147,30,14,46.7,8,578,2764,1341,29,38,9,29,22,676,81,2024-2025,Premier-League
Ricardo Pereira,POR,DF,Leicester City,30,1993,4.3,296,17,90,166,41,5,296,9,6,66.7,2,151,453,186,3,3,2,3,1,172,5,2024-2025,Premier-League
Kalvin Phillips,ENG,MF,Ipswich Town,28,1995,13.7,739,61,223,398,122,5,739,12,5,41.7,6,310,1489,569,4,5,0,25,10,394,4,2024-2025,Premier-League
Jaden Philogene Bidace,ENG,"FW,MF",Aston Villa,22,2002,3.7,145,4,27,54,66,14,145,15,4,26.7,8,75,520,239,7,5,7,7,3,83,17,2024-2025,Premier-League
Jaden Philogene Bidace,ENG,"FW,DF",Ipswich Town,22,2002,5.3,220,10,53,68,101,18,220,18,5,27.8,11,127,862,305,13,3,5,11,10,133,36,2024-2025,Premier-League
Jordan Pickford,ENG,GK,Everton,30,1994,38.0,1708,1116,1640,69,0,0,1708,0,0,,0,989,5989,3568,0,0,0,2,0,871,0,2024-2025,Premier-League
Ethan Pinnock,JAM,DF,Brentford,31,1993,21.3,1348,294,783,457,109,24,1348,9,3,33.3,6,633,3117,1633,3,4,0,2,4,760,9,2024-2025,Premier-League
Daniel Podence,POR,"MF,FW",Wolves,28,1995,0.5,20,0,2,11,7,0,20,2,2,100.0,0,13,77,43,1,1,0,0,0,17,3,2024-2025,Premier-League
Alfie Pond,ENG,DF,Wolves,20,2004,0.0,1,0,0,1,0,0,1,0,0,,0,1,2,2,0,0,0,0,0,1,0,2024-2025,Premier-League
Nick Pope,ENG,GK,Newcastle Utd,32,1992,28.0,872,688,857,15,0,0,872,0,0,,0,439,2510,1708,0,0,0,0,1,305,0,2024-2025,Premier-League
Pedro Porro,ESP,DF,Tottenham,24,1999,29.0,2237,128,675,812,763,32,2237,40,14,35.0,24,1187,5444,2841,65,43,5,25,18,1291,109,2024-2025,Premier-League
Jarell Quansah,ENG,DF,Liverpool,21,2003,5.5,464,80,245,189,30,6,464,3,1,33.3,2,268,1421,709,3,4,1,5,2,321,4,2024-2025,Premier-League
Hákon Rafn Valdimarsson,ISL,GK,Brentford,22,2001,1.6,72,60,71,1,0,0,72,0,0,,0,44,191,80,0,0,0,0,0,36,0,2024-2025,Premier-League
Aaron Ramsdale,ENG,GK,Southampton,26,1998,30.0,1314,946,1286,32,0,0,1314,0,0,,0,786,4017,2349,0,0,0,3,0,702,0,2024-2025,Premier-League
Jacob Ramsey,ENG,"FW,MF",Aston Villa,23,2001,18.0,762,12,146,272,359,74,762,46,25,54.3,13,496,3441,1766,61,31,21,42,23,577,114,2024-2025,Premier-League
Marcus Rashford,ENG,"FW,MF",Manchester Utd,26,1997,10.9,440,3,35,189,222,34,440,39,9,23.1,26,293,1694,728,20,19,12,14,6,341,79,2024-2025,Premier-League
Marcus Rashford,ENG,FW,Aston Villa,26,1997,4.9,227,2,14,58,159,30,226,22,9,40.9,13,127,892,471,22,10,15,8,1,149,42,2024-2025,Premier-League
David Raya,ESP,GK,Arsenal,28,1995,38.0,1480,880,1388,92,0,0,1480,1,1,100.0,0,921,4542,2729,0,0,0,1,0,841,0,2024-2025,Premier-League
Harrison Reed,ENG,MF,Fulham,29,1995,1.2,78,2,11,28,40,5,78,2,0,0.0,1,31,95,27,1,1,0,2,2,38,7,2024-2025,Premier-League
Remy Rees-Dottin,ENG,FW,Bournemouth,18,2006,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2024-2025,Premier-League
Sergio Reguilón,ESP,DF,Tottenham,27,1996,2.2,167,9,57,73,38,3,167,6,2,33.3,1,88,383,233,5,2,1,2,1,97,12,2024-2025,Premier-League
Vitor Reis,BRA,DF,Manchester City,18,2006,0.0,3,1,2,1,0,0,3,1,1,100.0,0,2,3,0,0,0,0,0,0,2,0,2024-2025,Premier-League
Chadi Riad,MAR,DF,Crystal Palace,21,2003,1.0,90,5,41,49,1,0,90,0,0,,0,58,318,232,2,0,0,1,0,69,0,2024-2025,Premier-League
Declan Rice,ENG,MF,Arsenal,25,1999,31.4,1948,82,325,909,733,81,1948,29,14,48.3,14,1031,6464,3394,90,58,16,36,32,1266,94,2024-2025,Premier-League
Chris Richards,USA,DF,Crystal Palace,24,2000,21.4,1118,134,611,439,74,19,1118,6,1,16.7,5,517,2316,964,6,5,0,5,5,614,2,2024-2025,Premier-League
Richarlison,BRA,FW,Tottenham,27,1997,5.6,173,8,21,89,64,29,173,16,1,6.3,14,89,424,168,8,8,3,9,8,120,22,2024-2025,Premier-League
Andrew Robertson,SCO,DF,Liverpool,30,1994,27.6,2084,92,539,940,620,53,2084,18,7,38.9,10,1107,4941,2848,64,52,6,25,13,1399,108,2024-2025,Premier-League
Antonee Robinson,USA,DF,Fulham,26,1997,35.2,2523,139,828,942,788,70,2523,83,38,45.8,34,1343,7361,4230,118,61,30,44,20,1509,274,2024-2025,Premier-League
Jay Robinson,ENG,"MF,FW",Southampton,17,2007,1.5,54,4,15,18,22,5,54,11,6,54.5,5,33,188,92,3,2,1,1,6,29,10,2024-2025,Premier-League
Rodri,ESP,MF,Manchester City,28,1996,0.8,74,1,14,37,24,0,74,1,0,0.0,0,39,172,82,1,2,0,0,0,56,1,2024-2025,Premier-League
Guido Rodríguez,ARG,MF,West Ham,30,1994,12.8,709,54,223,423,64,5,709,6,3,50.0,1,327,1167,481,4,5,2,4,7,408,7,2024-2025,Premier-League
Mads Roerslev,DEN,DF,Brentford,25,1999,12.2,645,49,234,268,146,20,645,19,7,36.8,8,352,1630,858,17,13,0,9,6,406,54,2024-2025,Premier-League
Morgan Rogers,ENG,"FW,MF",Aston Villa,22,2002,34.6,1362,43,200,592,597,142,1362,160,66,41.3,74,794,5594,3232,114,68,33,114,74,956,188,2024-2025,Premier-League
